,close
287,139.57
288,139.86
289,139.7
290,140.04
291,137.48
292,139.08
293,138.79
294,141.28
295,141.25
296,142.63
297,143.9
298,144.48
299,145.39
300,145.2
301,146.35
302,146.87
303,146.58
304,146.14
305,145.36
306,144.71
307,143.7
308,143.04
309,141.95
310,141.31
311,142.62
312,141.22
313,143.64
314,144.07
315,144.67
316,145.09
317,145.49
318,144.08
319,144.5
320,144.63
321,143.74
322,144.3
323,144.14
324,144.24
325,142.61
326,143.0
327,143.22
328,143.91
329,141.99
330,142.45
331,145.0
332,144.96
333,146.48
334,146.72
335,145.94
336,145.56
337,145.86
338,144.9
339,147.7
340,148.79
341,160.91
342,157.89
343,156.71
344,158.07
345,155.36
346,155.39
347,152.69
348,150.57
349,154.03
350,154.12
351,149.85
352,150.07
353,153.43
354,152.52
355,151.91
356,153.37
357,148.89
358,152.09
359,156.69
360,156.2
361,157.35
362,160.26
363,159.61
364,158.12
365,159.32
366,160.26
367,159.31
368,156.21
369,158.32
370,155.72
371,156.95
372,154.49
373,153.81
374,155.83
375,156.55
376,158.58
377,155.52
378,153.18
379,153.96
380,155.16
381,156.18
382,156.01
383,154.76
384,150.75
385,151.4
386,149.51
387,147.59
388,153.85
389,155.34
390,152.53
391,159.03
392,162.4
393,163.7
394,163.62
395,166.8
396,167.34
397,165.47
398,165.37
399,166.25
400,162.6
401,162.37
402,169.12
403,168.65
404,163.85
405,163.14
406,164.2
407,164.18
408,163.83
409,163.47
410,162.49
411,161.7
412,158.49
413,154.25
414,153.42
415,154.04
416,153.13
417,152.83
418,152.5
419,151.5
420,152.95
421,153.23
422,153.33
423,152.5
424,154.0
425,153.91
426,156.74
427,155.41
428,154.81
429,153.57
430,154.1
431,155.35
432,156.46
433,154.76
434,153.97
435,153.55
436,152.47
437,151.98
438,151.84
439,151.77
440,151.95
441,150.51
442,148.97
443,149.12
444,147.1
445,148.89
446,148.4
447,149.16
448,150.3
449,151.57
450,151.35
451,150.84
452,151.58
453,153.35
454,154.03
455,154.06
456,154.36
457,153.68
458,153.6
459,153.5
460,155.88
461,159.55
462,162.07
463,160.9
464,159.53
465,146.54
466,146.83
467,147.1
468,147.03
469,147.62
470,148.5
471,147.39
472,146.48
473,146.72
474,146.48
475,146.78
476,146.66
477,145.08
478,145.66
479,145.66
480,146.56
481,145.87
482,145.13
483,145.26
484,145.88
485,144.39
486,144.55
487,144.82
488,145.54
489,145.99
490,145.76
491,144.86
492,142.45
493,142.9
494,143.82
495,143.04
496,144.08
497,143.03
498,142.56
499,143.14
500,142.51
501,143.74
502,142.94
503,142.14
504,141.01
505,140.33
506,139.7
507,140.7
508,142.5
509,142.07
510,142.32
511,141.84
512,141.84
513,141.77
514,142.11
515,143.47
516,145.16
517,144.94
518,144.45
519,145.3
520,144.67
521,144.29
522,145.07
523,145.36
524,146.19
525,145.99
526,147.08
527,147.66
528,147.53
529,154.0
530,153.01
531,154.24
532,153.63
533,153.7
534,153.19
535,153.42
536,152.94
537,152.36
538,153.67
539,155.58
540,153.83
541,154.13
542,155.32
543,154.75
544,155.23
545,154.11
546,154.4
547,153.79
548,154.95
549,154.84
550,155.38
551,154.22
552,153.81
553,154.25
554,155.18
555,154.1
556,152.1
557,150.98
558,152.37
559,152.41
560,152.05
561,152.67
562,152.63
563,151.73
564,152.49
565,153.2
566,152.51
567,152.03
568,152.64
569,151.98
570,150.78
571,150.93
572,153.68
573,151.51
574,150.37
575,150.65
576,151.25
577,152.11
578,153.03
579,155.05
580,159.05
581,158.63
582,159.1
583,158.84
584,160.29
585,160.32
586,160.06
587,160.39
588,160.75
589,160.38
590,162.3
591,161.69
592,170.05
593,171.1
594,169.53
595,170.66
596,170.58
597,171.2
